Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
238;tt27028399;21-05-2025;21-05-2025;;Murder Mubarak;Murder Mubarak;https://www.imdb.com/title/tt27028399/;Movie;7.241;140;2024;Comedy, Horror, Mystery, Romance;51094;15-03-2024;Homi Adajania;55;15;*;*;58;51013;50;5915;54;no mc, check release date
239;tt23790740;21-05-2025;21-05-2025;;Srikanth;Srikanth;https://www.imdb.com/title/tt23790740/;Movie;7.242;134;2024;Biography, Drama;14015;10-05-2024;Tushar Hiranandani;*;*;*;*;*;*;*;*;*;doesn't exist on the site
240;tt29330913;21-05-2025;21-05-2025;;Vicky Vidya Ka Woh Wala Video;Vicky Vidya Ka Woh Wala Video;https://www.imdb.com/title/tt29330913/;Movie;7.243;152;2024;Comedy;11467;11-10-2024;Raaj Shaandilyaa;*;*;*;*;*;*;*;*;*;doesn't exist on the site
241;tt30889755;21-05-2025;21-05-2025;;The Sabarmati Report;The Sabarmati Report;https://www.imdb.com/title/tt30889755/;Movie;7.244;127;2024;Crime, Drama, Thriller;24481;15-11-2024;Dheeraj Sarna;*;*;*;*;*;*;*;*;*;doesn't exist on the site
242;tt25434834;21-05-2025;21-05-2025;;Viduthalai Part 2;Viduthalai Part 2;https://www.imdb.com/title/tt25434834/;Movie;7.245;170;2024;Action, Crime, Drama, Thriller;16171;20-12-2024;Vetrimaaran;*;*;*;*;80;15509;68;11996;74;no rt nor metacritic, check date
243;tt26658272;21-05-2025;21-05-2025;;Amar Singh Chamkila;Amar Singh Chamkila;https://www.imdb.com/title/tt26658272/;Movie;7.246;145;2024;Biography, Drama, Music, Romance;16336;12-04-2024;Imtiaz Ali;75;15;*;*;78;16162;74;12465;75;no mc, check date
244;tt15433956;21-05-2025;21-05-2025;;Hanu Man;Hanu Man;https://www.imdb.com/title/tt15433956/;Movie;7.247;158;2024;Action, Adventure, Fantasy;29354;12-01-2024;Prasanth Varma;60;6;*;*;77;29135;62;9610;66;no mc
245;tt29808429;21-05-2025;21-05-2025;;Color of Victory;Zaferin Rengi;https://www.imdb.com/title/tt29808429/;Movie;7.248;157;2024;Drama, History, Sport;40412;16-02-2024;Abdullah Oguz, Bekir Dadas;*;*;*;*;61;40328;66;2402;64;has the original title but not the anglisized one
246;tt27940442;21-05-2025;21-05-2025;;Blackout;Blackout;https://www.imdb.com/title/tt27940442/;Movie;7.249;122;2024;Comedy, Thriller;10443;07-06-2024;Devang Bhavsar;64;22;*;*;61;10393;60;484;61;check date
247;tt26659814;21-05-2025;21-05-2025;;Auron Mein Kahan Dum Tha;Auron Mein Kahan Dum Tha;https://www.imdb.com/title/tt26659814/;Movie;7.250;150;2024;Action, Crime, Drama, Romance;40574;02-08-2024;Neeraj Pandey;*;*;*;*;*;*;*;*;*;doesn't exist on the site
248;tt32308617;21-05-2025;21-05-2025;;Savi;Savi;https://www.imdb.com/title/tt32308617/;Movie;7.251;126;2024;Action, Crime, Drama, Romance, Thriller;34912;31-05-2024;Abhinay Deo;*;*;*;*;*;*;*;*;*;doesn't exist on the site
249;tt14564000;21-05-2025;21-05-2025;;Guntur Kaaram;Guntur Kaaram;https://www.imdb.com/title/tt14564000/;Movie;7.252;159;2024;Action, Drama;24618;12-01-2024;Trivikram Srinivas;31;3;*;*;54;24508;46;11585;43;check date
250;tt26233598;21-05-2025;21-05-2025;;Raayan;Raayan;https://www.imdb.com/title/tt26233598/;Movie;7.253;145;2024;Action, Crime, Drama, Thriller;11062;26-07-2024;Dhanush;*;*;*;*;65;10787;62;17513;64;no rt nor metacritic, check date
251;tt11281220;21-05-2025;21-05-2025;;Intoxicated by Love;Maste eshgh;https://www.imdb.com/title/tt11281220/;Movie;7.254;118;2024;Drama, History, Romance;13341;24-04-2024;Hasan Fathi;*;*;*;*;85;12149;44;781;65;no rt nor metacritic, check date
252;tt27930683;21-05-2025;21-05-2025;;Agni;Agni;https://www.imdb.com/title/tt27930683/;Movie;7.255;122;2024;Action, Drama;14927;06-12-2024;Rahul Dholakia;*;*;*;*;*;*;*;*;*;doesn't exist on the site
253;tt24517830;21-05-2025;21-05-2025;;Bad Newz;Bad Newz;https://www.imdb.com/title/tt24517830/;Movie;7.256;142;2024;Comedy, Romance;25936;19-07-2024;Anand Tiwari;52;9;*;*;47;25832;44;4569;47;no mc
254;tt18072316;21-05-2025;21-05-2025;;Bade Miyan Chote Miyan;Bade Miyan Chote Miyan;https://www.imdb.com/title/tt18072316/;Movie;7.257;163;2024;Action, Adventure, Sci-Fi, Thriller;39017;11-04-2024;Ali Abbas Zafar;34;11;*;*;38;38909;38;38;36;no mc
255;tt14753612;21-05-2025;21-05-2025;;Swatantrya Veer Savarkar;Swatantrya Veer Savarkar;https://www.imdb.com/title/tt14753612/;Movie;7.258;176;2024;Biography, Drama;17612;22-03-2024;Randeep Hooda;41;4;*;*;77;17478;68;1917;62;no mc
256;tt15392282;21-05-2025;21-05-2025;;Merry Christmas;Merry Christmas;https://www.imdb.com/title/tt15392282/;Movie;7.259;144;2024;Drama, Mystery, Thriller;29855;12-01-2024;Sriram Raghavan;66;13;*;*;69;29679;68;19407;67;no mc
257;tt15576290;21-05-2025;21-05-2025;;Do Aur Do Pyaar;Do Aur Do Pyaar;https://www.imdb.com/title/tt15576290/;Movie;7.260;140;2024;Comedy, Drama, Romance;12200;19-04-2024;Shirsha Guha Thakurta;*;*;*;*;*;*;*;*;*;doesn't exist on the site
258;tt14056466;21-05-2025;21-05-2025;;Yudhra;Yudhra;https://www.imdb.com/title/tt14056466/;Movie;7.261;142;2024;Action, Drama, Thriller;13310;20-09-2024;Ravi Udyawar;*;*;*;*;*;*;*;;*;doesn't exist on the site
259;tt19857862;21-05-2025;21-05-2025;;Now or Never!;Most vagy soha!;https://www.imdb.com/title/tt19857862/;Movie;7.262;135;2024;Adventure, Biography, Drama, History, Romance;17122;14-03-2024;Balázs Lóth;*;*;*;*;21;16818;46;873;34;check date
260;tt16227342;21-05-2025;21-05-2025;;Mr. & Mrs. Mahi;Mr. & Mrs. Mahi;https://www.imdb.com/title/tt16227342/;Movie;7.263;139;2024;Drama, Sport;15991;31-05-2024;Sharan Sharma;*;*;*;*;*;*;*;*;*;doesn't exist on the site
261;tt8066940;21-05-2025;21-05-2025;;Indian 2;Indian 2;https://www.imdb.com/title/tt8066940/;Movie;7.264;178;2024;Action, Drama, Musical, Thriller;16424;12-07-2024;S. Shankar;*;*;*;*;39;16317;30;11620;35;no rt nor metacritic, check date
262;tt27051027;21-05-2025;21-05-2025;;Love Li;Love li;https://www.imdb.com/title/tt27051027/;Movie;7.265;168;2024;Drama, Romance;13002;14-06-2024;Chethan Keshav;*;*;*;*;*;*;*;*;*;doesn't exist on the site
263;tt31514262;21-05-2025;21-05-2025;;Wild Wild Punjab;Wild Wild Punjab;https://www.imdb.com/title/tt31514262/;Movie;7.266;109;2024;Comedy, Romance;15510;10-07-2024;Simarpreet Singh;46;7;*;*;62;15447;58;1965;55;no mc
264;tt15334030;21-05-2025;21-05-2025;;Martin;Martin;https://www.imdb.com/title/tt15334030/;Movie;7.267;147;2024;Action, Drama, Thriller;35804;11-10-2024;A.P. Arjun;*;*;*;*;*;*;*;*;*;doesn't exist on the site
265;tt30783769;21-05-2025;21-05-2025;;Kaam Chalu Hai;Kaam Chalu Hai;https://www.imdb.com/title/tt30783769/;Movie;7.268;82;2024;Drama;12738;19-04-2024;Palaash Muchhal;*;*;*;*;*;*;*;*;*;doesn't exist on the site
266;tt32765621;21-05-2025;21-05-2025;;Sipahi;Sipahi;https://www.imdb.com/title/tt32765621/;Movie;7.269;62;2024;Drama;13868;25-06-2024;Amit Bhadana;*;*;*;*;*;*;*;*;*;doesn't exist on the site
