Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
67;tt4978420;21-05-2025;21-05-2025;;Borderlands;Borderlands;https://www.imdb.com/title/tt4978420/;Movie;7.70;101;2024;Action, Adventure, Comedy, Sci-Fi, Thriller;49319;09-08-2024;Eli Roth;31;97;26;41;47;45280;30;99671;35;
68;tt24176060;21-05-2025;21-05-2025;;Queer;Queer;https://www.imdb.com/title/tt24176060/;Movie;7.71;137;2024;Biography, Drama, History, Romance;22459;29-03-2025;Luca Guadagnino;71;124;72;41;65;17754;68;290311;69;
69;tt22408160;21-05-2025;21-05-2025;;Kinds of Kindness;Kinds of Kindness;https://www.imdb.com/title/tt22408160/;Movie;7.72;164;2024;Comedy, Drama, Horror;60172;28-06-2024;Yorgos Lanthimos;65;155;64;41;65;57823;66;429513;63;
70;tt23558280;21-05-2025;21-05-2025;;Elevation;Elevation;https://www.imdb.com/title/tt23558280/;Movie;7.73;91;2024;Action, Sci-Fi, Thriller;23212;26-11-2024;George Nolfi;53;33;50;41;56;19591;46;26696;57;
71;tt11301886;21-05-2025;21-05-2025;;Rebel Ridge;Rebel Ridge;https://www.imdb.com/title/tt11301886/;Movie;7.74;131;2024;Action, Crime, Drama, Thriller;89505;06-09-2024;Jeremy Saulnier;78;73;76;41;68;85674;68;73;73;
72;tt1340094;21-05-2025;21-05-2025;;The Crow;The Crow;https://www.imdb.com/title/tt1340094/;Movie;7.75;111;2024;Action, Crime, Fantasy, Horror, Romance, Thriller;35605;23-08-2024;Rupert Sanders;46;88;30;41;47;32487;44;104122;46;
73;tt29439114;21-05-2025;21-05-2025;;The Room Next Door;The Room Next Door;https://www.imdb.com/title/tt29439114/;Movie;7.76;107;2024;Drama;21456;18-10-2024;Pedro Almodóvar;71;109;70;41;68;18204;68;134663;69;
74;tt14539740;21-05-2025;21-05-2025;;Godzilla x Kong: The New Empire;Godzilla x Kong: The New Empire;https://www.imdb.com/title/tt14539740/;Movie;7.77;115;2024;Action, Adventure, Fantasy, Sci-Fi, Thriller;122753;29-03-2024;Adam Wingard;55;149;47;41;61;119166;54;366639;62;
75;tt27540542;21-05-2025;21-05-2025;;Lucky Baskhar;Lucky Baskhar;https://www.imdb.com/title/tt27540542/;Movie;7.78;148;2024;Crime, Drama, Thriller;32870;31-10-2024;Venky Atluri;*;*;*;*;80;29741;72;32817;76;no rt nor metacritic
76;tt10245072;21-05-2025;21-05-2025;;Salem's Lot;Salem's Lot;https://www.imdb.com/title/tt10245072/;Movie;7.79;114;2024;Horror, Thriller;34097;03-10-2024;Gary Dauberman;52;61;47;41;56;32703;48;9027;50;
77;tt18272208;21-05-2025;21-05-2025;;Here;Here;https://www.imdb.com/title/tt18272208/;Movie;7.80;104;2024;Drama;21706;01-11-2024;Robert Zemeckis;48;97;39;41;63;1826;60;79691;57;
78;tt7510222;21-05-2025;21-05-2025;;Despicable Me 4;Despicable Me 4;https://www.imdb.com/title/tt7510222/;Movie;7.81;94;2024;Animation, Adventure, Comedy, Crime, Family, Sci-Fi;66762;03-07-2024;Chris Renaud, Patrick Delage;55;94;52;41;62;62184;54;422613;62;
79;tt21097228;21-05-2025;21-05-2025;;A Different Man;A Different Man;https://www.imdb.com/title/tt21097228/;Movie;7.82;112;2024;Comedy, Drama, Thriller;30066;04-10-2024;Aaron Schimberg;77;110;78;41;69;27202;76;205727;78;
80;tt17505010;21-05-2025;21-05-2025;;Horizon: An American Saga - Chapter 1;Horizon: An American Saga - Chapter 1;https://www.imdb.com/title/tt17505010/;Movie;7.83;181;2024;Drama, Western;40673;28-06-2024;Kevin Costner;55;91;49;41;67;39018;60;52089;57;
81;tt19637052;21-05-2025;21-05-2025;;Love Lies Bleeding;Love Lies Bleeding;https://www.imdb.com/title/tt19637052/;Movie;7.84;104;2024;Action, Adventure, Crime, Drama, Mystery, Romance, Thriller;57704;03-05-2024;Rose Glass;78;153;77;41;66;55575;70;532373;73;
